Distance,Syn1_071819,Syn2_072519,Syn3_072919,Syn4_073119,Syn5_080619,Syn6_081219
245.23145,250,450,510,550,430,680
240.131,420,440,480,550,550,700
228.22,450,470,530,600,560,740
225.566,460,490,530,550,650,720
217.636,490,510,670,580,690,680
208.216,490,470,520,540,650,740
204.122,450,500,540,610,620,780
194.937,540,530,590,510,490,710
184.107,400,520,570,480,510,620
178.759,360,480,490,490,530,630
169.972,440,510,570,540,560,650
161.976,430,550,510,510,540,650
154.82,410,490,490,590,560,650
143.68,400,540,470,540,540,610
140.638,440,510,540,620,550,680
131.849,370,470,380,620,620,710
128.96,330,430,450,650,560,730
124.229,480,580,620,750,710,840
107.753,540,490,1100,950,740,1390
102.753,970,850,740,1250,1020,1300
94.14,1160,990,1240,1610,1280,1510
87.664,1270,930,1390,1720,1340,1690
81.871,1310,1150,1440,1820,1490,1910
75.925,1620,1270,1890,2250,1910,2470
67.023,1750,1320,2100,2280,1940,2670
63.659,1810,1150,2250,2460,2200,2880
56.243,1880,1210,2340,2500,2250,3120
51.477,1950,1470,2240,2540,2300,3260
47.593,2100,1350,2450,2700,2430,3530
37.442,2090,1560,2380,2910,2550,3600
34.256,2280,1450,2300,2860,2610,3850
25.495,2070,1420,,2880,2670,3710
16.957,2030,1470,,2730,2690,3770
12.337,2000,1510,,2740,2710,3750
4.002,2050,1370,,2730,2590,3700
0,2080,1480,,2750,2620,3740